"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1241920180.160,779.059,39.298,1.88e-22,2641.038,0.438,5224.214844,0.000,0.000,0.998,"yHp8ri2MKM","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/82eNizcC3t/yHp8ri2MKM.png",5.657
1241920180.160,779.059,39.298,1.88e-22,2641.038,0.438,5224.214844,0.000,0.000,0.998,"nvJe0mviMx","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SuNagnU5HZ/nvJe0mviMx.png",5.657
1249223878.204,411.865,29.083,1.03e-22,3415.633,0.375,6773.404297,0.000,0.000,0.998,"9YwVZpecWV","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JzXWOXuDIQ/9YwVZpecWV.png",5.657
1253767601.143,779.059,27.950,1.36e-22,2380.014,1.000,4722.197754,0.000,0.000,0.998,"7ZKrUKADPJ","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LKOO5HyMD8/7ZKrUKADPJ.png",5.657
1252067755.181,509.363,115.639,4.41e-22,2378.204,2.500,4725.818359,0.000,0.000,0.998,"HQog8Vd9SM","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PJAMfoC6aX/HQog8Vd9SM.png",5.657
1244330390.066,39.789,8.619,6.76e-23,196.875,0.250,346.963043,0.000,0.000,0.998,"IvgCrdXC5t","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GJHuHcFx0S/IvgCrdXC5t.png",5.657
1253942358.872,779.059,13.171,6.40e-23,1268.874,0.094,2475.222168,0.000,0.000,0.998,"ODo7ftOXzI","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9ga8ywnwIE/ODo7ftOXzI.png",5.657
1245975283.259,509.363,28.719,1.36e-22,1271.132,0.250,2470.705811,0.000,0.000,0.997,"mOPwi5cQ9W","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/b0ZfE8VNku/mOPwi5cQ9W.png",5.657
1244231263.579,176.063,22.174,7.52e-23,294.922,0.438,543.058777,0.000,0.000,0.997,"RQFrXFKdbv","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tt8k86RiLz/RQFrXFKdbv.png",5.657
1244231263.579,176.063,22.174,7.52e-23,294.922,0.438,543.058777,0.000,0.000,0.997,"IuLH0ygHAk","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Izw3BnXnQS/IuLH0ygHAk.png",5.657
1250733854.899,217.741,30.583,9.89e-23,3982.889,1.250,7935.187988,0.000,0.000,0.997,"D8olgMQJBi","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wy6OqY43QM/D8olgMQJBi.png",5.657
1246795420.826,509.363,14.258,5.31e-23,1040.721,0.031,1971.994751,0.000,0.000,0.997,"Y1qO03nf2E","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0dfTBmcJf9/Y1qO03nf2E.png",5.657
1251074083.490,269.285,11.040,3.82e-23,3984.082,1.012,7932.801270,0.000,0.000,0.997,"AOYHyBexUd","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JYAMlwr39v/AOYHyBexUd.png",5.657
1246795420.621,217.741,14.513,4.58e-23,3824.984,0.229,7517.445313,0.000,0.000,0.996,"fHUQUNh8Qc","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0dfTBmcJf9/fHUQUNh8Qc.png",5.657
1242265625.348,62.459,13.722,7.59e-23,3945.515,3.375,7860.440430,0.000,0.000,0.996,"kErilPxJjL","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/sup3FaWY6c/kErilPxJjL.png",5.657
