GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1253066918,39.789,25.272,2.01E-22,3873.628,0.75,7709.42627,0,0,1,cku4ejYzGA,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PoGnHyfwDF/cku4ejYzGA.png,5.657
1243768454,39.789,25.261,1.99E-22,3982.889,1.072,7935.187988,0,0,1,SA7e2PtP3h,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/AUreG0eCTp/SA7e2PtP3h.png,5.657
1246090168,39.789,25.068,1.95E-22,71.655,0.875,112.7202,0,0,1,ffBHUIQaGK,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LyQ0gApLT0/ffBHUIQaGK.png,5.657
1253673874,39.789,24.834,2.00E-22,3705.437,1.022,7373.042969,0,0,1,6GLCRI44Ch,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lVinDlT4oQ/6GLCRI44Ch.png,5.657
1247748857,39.789,24.669,1.93E-22,2783.986,1.088,5537.383301,0,0,1,malnBvYrLk,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/q3JQxiEkYM/malnBvYrLk.png,5.657
1249391027,39.789,24.549,2.08E-22,3581.752,1,7132.915039,0,0,1,g149I9GgyX,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/CqVIWEFwsx/g149I9GgyX.png,5.657
1243299602,39.789,24.51,1.98E-22,91.362,0.875,152.135117,0,0,1,UJKP5w17Y8,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/yljq0G9YCQ/UJKP5w17Y8.png,5.657
1243299602,39.789,24.51,1.98E-22,91.362,0.875,152.135117,0,0,1,PPs60ckGa7,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/RWpU8ck38X/PPs60ckGa7.png,5.657
1250401107,39.789,24.425,1.88E-22,3625.954,0.77,7215.793945,0,0,1,pm0yZZCCNI,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/M36qIPaEXB/pm0yZZCCNI.png,5.657
1243487621,39.789,24.348,1.83E-22,88.617,1,139.403442,0,0,1,cqCSWAsJ47,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JPLlCSHmKJ/cqCSWAsJ47.png,5.657
1242416564,39.789,24.32,1.95E-22,71.655,1.125,112.7202,0,0,1,rCvwuAGRWQ,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PX2y25Bpfu/rCvwuAGRWQ.png,5.657
1243382417,39.789,24.297,1.97E-22,3873.628,0.837,7709.42627,0,0,1,WYdSWoUbDG,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3RwpH7DCIR/WYdSWoUbDG.png,5.657
1247641575,39.789,24.176,1.89E-22,2343.242,1,4648.653809,0,0,1,RHqE1rn5ia,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/52oLV8RoMb/RHqE1rn5ia.png,5.657
1251975859,39.789,24.124,2.00E-22,71.655,0.875,112.7202,0,0,1,IEgSnsSRL0,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SjnfLJemsh/IEgSnsSRL0.png,5.657
1252550844,39.789,24.063,1.86E-22,73.465,1,109.099602,0,0,1,36lDmmtJMJ,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ameEl0gl6m/36lDmmtJMJ.png,5.657
1244239150,39.789,24.057,1.90E-22,3881.521,1.086,7732.453125,0,0,1,3DDh3AY8cN,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/d0pCDlr7Lb/3DDh3AY8cN.png,5.657
1250692606,39.789,24.046,1.99E-22,88.617,0.75,139.403442,0,0,1,pPxWEKd28R,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7UnQqZowOt/pPxWEKd28R.png,5.657
1248972746,39.789,23.968,1.82E-22,509.919,0.75,989.249084,0,0,1,6bZVoP7POo,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/2JXXqah0FK/6bZVoP7POo.png,5.657
1246172591,39.789,23.898,1.85E-22,3910.303,0.919,7782.774902,0,0,1,Ccr5mwuVqB,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/2Zg8g88CNr/Ccr5mwuVqB.png,5.657
1246172591,39.789,23.898,1.85E-22,3910.303,0.919,7782.774902,0,0,1,dQr8I7gHKq,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5s0aZMz5uZ/dQr8I7gHKq.png,5.657
1249034807,39.789,23.898,1.92E-22,3523.514,0.972,7016.437988,0,0,1,ghc0uuHgMx,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SqiAVCuIxg/ghc0uuHgMx.png,5.657
1248879301,39.789,23.888,1.90E-22,86.807,1,143.024033,0,0,1,jE84d6myrX,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/sFBUuCLvgn/jE84d6myrX.png,5.657
1243932930,39.789,23.754,1.89E-22,88.188,1.25,140.261917,0,0,1,kHJP2fm370,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/aohtsAcPhA/kHJP2fm370.png,5.657
1239783251,47.124,23.74,1.51E-22,85.626,0.75,135.349625,0,0,1,g5VhAukV2z,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qGQpQR4pYF/g5VhAukV2z.png,5.657
