GPStime,peakFreq,snr,Standard example? (y/n)
1238352310.438,32.423,8.795,y
1248311374.813,30.487,11.207,y
1245414408.875,33.033,9.862,y
1251333236.125,30.629,15.967,y
1253409809.688,31.035,8.383,y
1242267313.313,29.948,8.807,y
1244982437.375,27.606,8.389,y
1244987136.625,29.216,11.879,y
1251963202.938,37.349,8.509,y
1246164558.875,28.669,14.574,y
1251501924.813,32.741,9.322,y
1240330843.563,31.288,9.219,y
1251962763.625,31.509,9.797,y
1250735737.375,30.92,9.095,y
1252098955.625,30.92,14.098,y
1253941545.938,27.886,11.253,y
1251962418.875,29.493,9.933,y
1238519168.813,30.193,9.733,n
1253297260.938,26.909,9.683,y
1238997423.625,26.645,9.716,y
1249338958.375,24.882,10.763,y
1238369837.688,31.288,8.196,y
1242842507.688,31.035,10.338,y
1249592871.625,28.941,15.152,y
1250345757.875,31.213,9.533,y
1242267585.063,31.594,8.9,y
1252094197.625,28.4,8.749,y
1242600623.813,31.594,11.251,y
1239963901.375,30.417,9.491,y
1246157067.938,31.035,12.69,y
1242315776.875,30.056,10.277,y
1241193434.875,33.663,14.844,n
1251502176.875,31.213,13.26,y
1247418902.813,28.388,10.813,y
1247771813.188,26.909,10.302,y
1242775117.563,31.035,9.842,y
1244947560.938,31.594,14.194,y
1253625403.813,32.162,12.036,y
1240943318.375,33.663,23.508,n
1245671506.375,31.509,10.339,n
1253407660.438,25.966,24.496,y
1253407660.438,25.966,24.496,y
1247105292.875,32.11,12.778,y
1248326659.938,31.594,12.752,n
1239250557.188,33.005,11.17,y
1240324936.625,31.293,9.992,y
1250188714.813,27.393,9.962,y
1245362051.938,31.594,12.742,y
1248763629.875,33.983,13.128,y
1248747513.125,33.663,16.16,n
1238356962.938,24.384,11.689,y
1252794348.625,30.056,9.015,y
1253590810.625,26.835,9.763,y
1249854461.063,28.898,11.598,y
1250539716.875,30.92,10.18,y
1238641802.688,29.137,11.202,n
1247110975.625,31.809,12.249,y
1242267765.125,30.341,8.447,y
1242677911.875,30.341,11.887,y
1238650988.813,30.193,11.038,n
1242267041.313,31.035,9.368,y
1245672113.313,31.035,10.586,y
1238638777.875,31.89,9.852,y
1244947544.063,29.418,9.575,y
1238733027.188,33.598,9.225,y
1247970037.125,31.213,13.851,y
1248260998.188,31.035,11.446,y
1238921326.188,32.423,8.51,y
1253656054.313,27.886,10.81,y
1253295362.875,31.809,17.402,y
1238354956.625,31.293,10.036,y
1245112058.063,31.594,9.496,n
1238909871.625,30.998,18.105,y
1248325276.375,31.509,15.803,y
1253580208.188,32.162,12.92,y
1242267100.125,31.213,11.051,y
1245414417.813,23.75,18.323,y
1239253280.438,30.736,9.265,n
1242393292.938,33.93,16.74,n
1238921884.375,34.073,11.065,y
1251400967.438,31.594,10.118,y
1238642392.125,33.435,11.199,y
1245415464.625,30.92,10.78,y
1253296571.375,29.493,12.739,y
1251539723.563,26.433,12.565,y
1252797857.625,31.213,9.756,y
1239297016.563,30.736,8.501,y
1241724051.188,24.613,23.864,y
1238356097.875,30.131,8.626,n
1242316672.375,29.493,10.521,y
1244940180.188,31.035,15.866,y
1238355522.313,30.193,11.184,y
1242267815.625,31.213,10.116,n
1238616154.375,26.645,7.991,y
1244942586.875,31.809,9.179,y
1238555020.688,30.736,11.031,y
1238351251.125,32.193,9.051,y
1238515395.313,33.005,14.47,n
1252940236.375,32.11,14.057,n
1240862097.125,30.056,10.336,y
1244941510.375,30.056,9.219,y
1238640502.375,30.417,9.976,y
1238356991.625,32.193,7.833,n
1238647480.313,32.423,8.871,n
1238519716.313,33.598,12.132,y
1250736086.563,28.388,10.409,y
1238733496.188,30.736,9.362,n
1250188683.625,26.835,8.289,y
1244165496.625,32.415,12.456,n
1238910065.563,30.736,11.206,y
1250990496.625,26.835,9.486,y
1238511469.063,31.288,7.981,n
1243911687.563,33.33,11.858,y
1250782986.188,30.487,10.617,y
