GPStime,peakFreq,snr,Standard example? (y/n)
1258365054.453,28.43,13.686,n
1260611288.320,30.734,14.455,y
1262431971.922,34.378,8.962,y
1260543604.063,28.388,8.291,y
1262512991.477,34.59,9.387,y
1258015783.867,38.93,8.004,y
1262498296.375,30.92,12.228,y
1260630295.188,32.162,9.496,y
1262176245.672,36.625,10.313,n
1260165955.340,26.015,9.374,y
1257903412.328,26.685,8.161,y
1260564362.938,24.613,13.06,y
1260584191.668,26.015,9.992,y
1260557806.164,30.734,7.912,y
1257771568.125,32.11,7.862,y
1262349933.438,25.056,8.768,y
1262146197.859,30.288,10.038,n
1259255452.563,33.93,15.691,y
1260182058.125,31.213,15.128,y
1259259534.633,34.59,8.899,y
1258986098.891,28.43,7.924,n
1260199213.984,26.685,11.517,n
1259289627.367,27.308,10.236,y
1260199214.004,32.173,9.555,n
1262522359.984,28.43,7.591,y
1262505278.930,30.734,9.163,y
1262360400.609,32.268,9.138,y
1258869893.922,34.378,9.231,y
1262707504.438,30.487,14.025,y
1262699427.133,27.308,9.187,y
1260611833.125,31.809,13.502,y
1262399585.660,32.173,15.779,n
1260566732.855,26.015,11.055,y
1260574647.508,27.308,7.873,y
1262363861.672,30.288,7.819,y
1258684331.859,26.685,9.106,y
1262950292.625,29.216,9.7,y
1262508792.762,26.015,9.647,y
1261673323.898,30.734,9.559,y
1262351860.125,29.773,8.261,y
1262638553.359,32.268,9.047,y
1262333195.891,32.268,9.843,y
1257749554.063,32.741,8.058,y
1262944930.254,26.015,7.832,y
1262507643.238,26.015,8.493,y
1258872364.203,34.378,9.684,n
1260572542.477,30.734,9.53,y
1261365705.773,34.59,8.193,y
1258975006.086,30.734,12.881,y
1258869630.922,26.685,7.694,y
1261371550.375,25.84,8.926,y
1262233731.578,26.685,8.243,y
1260625625.477,30.734,14.938,y
1262813359.402,32.173,13.029,y
1257753720.770,26.015,8.294,y
1259251798.438,31.594,10.947,y
1257783849.188,36.65,11.356,n
1260275050.625,33.347,12.829,n
1262508075.840,32.173,10.297,y
1262550807.227,30.734,7.901,y
1259376699.023,30.734,13.896,y
1260896801.688,28.388,9.446,y
1262190600.922,28.43,8.068,y
1257551890.695,27.308,7.726,y
1262505389.188,30.487,8.098,y
1259396089.875,19.463,13.094,y
1262949179.563,33.33,13.976,y
1260335978.625,31.213,10.639,y
1259277018.977,30.734,9,n
1258966643.383,27.308,12.053,y
1260155316.840,26.015,13.478,y
1257569189.422,30.288,8.281,y
1260576370.945,27.308,7.704,y
1260623715.746,26.015,8.492,y
1262314044.641,30.288,8.436,y
1260213244.484,30.288,7.637,y
1262322666.516,30.288,8.288,y
1261485699.891,28.43,8.419,y
1258881409.359,32.268,9.021,y
1257763283.859,28.43,9.832,n
1262705976.563,29.948,10.647,y
1262929396.625,31.809,17.744,y
1260305276.625,26.583,14.677,y
1258638786.461,27.308,11.314,n
1259252606.488,26.015,10.626,y
1260576273.875,33.663,17.566,y
1260166129.586,27.308,9.132,y
1262321430.008,27.308,8.409,n
1260176032.625,26.085,7.721,n
1260323881.285,32.173,10.14,y
1257266874.125,27.09,11.442,n
1262513058.113,26.015,10.356,y
1262175967.672,34.378,7.62,y
1260573159.977,27.308,8.946,y
