GPStime,peakFreq,snr,Standard example? (y/n)
1249772084.563,63.39,10.66,y
1253200434.125,28.669,9.633,y
1243626391.375,26.583,9.37,y
1250543091.125,27.868,104.646,y
1240083868.063,31.851,7.838,y
1253286257.875,30.056,8.285,n
1253625440.625,32.723,10.872,y
1239166842.188,25.722,67.791,y
1253401149.688,19.519,70.296,y
1250626176.281,27.807,9.315,y
1245792260.125,28.133,8.446,y
1243287807.875,28.941,9.221,y
1241798190.594,57.937,37.725,n
1253303487.859,30.288,7.77,y
1243603993.375,29.493,8.411,y
1249666438.813,29.948,7.594,y
1250023370.125,30.341,7.595,y
1252626263.969,30.749,8.709,y
1248138073.563,25.056,9.326,y
1245160255.875,27.09,8.942,y
1245066559.625,18.502,23.71,y
1243685460.938,31.035,10.123,y
1238341066.188,31.288,7.74,y
1243265669.930,30.734,8.253,y
1248194167.563,31.594,8.995,y
1247872928.438,46.853,19.854,y
1238515146.188,20.406,47.026,y
1247873985.563,46.853,12.111,y
1253285981.438,26.909,9.734,y
1244507427.688,23.331,11.007,y
1247873978.813,45.977,8.085,y
1253426105.125,28.941,8.425,n
1238420229.125,28.469,9.917,y
1243454399.188,30.487,11.131,y
1243778734.375,29.216,8.351,y
1250616236.313,46.853,21.63,y
1250615046.063,33.93,10.6,n
1251037282.688,30.487,11.62,y
1243440090.563,31.035,9.889,y
1240360737.875,31.59,7.577,n
1249480036.625,30.629,8.1,y
1243610842.938,25.056,12.661,y
1253094434.625,18.175,15.866,y
1251500730.438,26.909,41.901,y
1242310622.063,33.33,8.276,y
1240926215.188,31.035,10.746,y
1243602623.438,31.594,10.84,y
1253612227.875,31.509,10.401,y
1252936330.063,25.966,12.317,y
1245098733.344,29.735,8.649,y
1243283248.813,28.388,7.927,y
1243595591.563,29.418,9.836,y
1241790124.313,19.519,41.219,y
1243260901.313,32.162,9.862,y
1253400704.625,18.218,33.012,y
1249407742.563,26.433,8.359,y
1238507915.688,23.531,73.805,y
1249771595.938,29.418,8.941,y
1250540678.625,24.187,47.712,y
1239171331.063,19.692,56.828,y
1239106484.875,26.645,13.445,y
1239160456.188,20.773,45.188,y
1247874078.438,31.035,7.773,n
1247871898.156,45.136,9.339,y
1238562613.188,31.288,7.642,y
1241798391.313,26.909,84.663,y
1250543157.063,37.349,140.583,y
1250005392.688,38.423,96.909,y
1243346457.813,28.898,8.683,y
1243257824.688,27.393,8.116,y
1242009259.875,19.648,50.305,y
1249668851.438,29.418,8.627,y
1240036592.125,24.24,9.409,y
1243602276.375,25.356,11.829,y
1252114717.563,49.119,13.11,n
1245040778.188,23.331,123.826,y
1249764245.563,26.909,7.563,y
1250517620.125,31.509,12.376,y
1249674648.125,29.773,9.57,y
1239628484.625,30.131,7.628,y
1244407115.938,31.594,9.228,y
1250019362.063,28.388,7.794,y
1240951439.938,29.418,8.453,y
1243508629.625,18.047,19.814,y
1253362837.063,29.948,128.153,y
1253301165.625,31.809,8.049,y
1248620582.563,31.594,8.265,y
1239997085.188,30.193,7.63,y
1249320787.625,30.056,8.623,y
1242314978.375,28.4,82.458,y
1244391168.563,32.162,8.237,y
1239740322.063,19.344,45.861,y
1247956478.938,25.966,8.785,y
1243623329.625,28.669,7.649,y
1243769261.063,32.741,8.372,y
1242314879.625,24.416,23.515,y
1243628949.125,30.92,11.453,y
1250370691.813,25.966,12.342,y
1238514978.063,20.046,20.614,y
1253290258.656,32.882,7.65,y
1249485986.063,33.33,8.405,y
1240148290.375,33.12,8.061,y
1248990405.125,31.213,8.525,n
1243660330.875,21.8,78.443,y
1243256021.320,34.59,9.281,y
1243620024.438,31.035,7.832,y
1253279663.625,29.216,11.7,y
1241811556.938,20.592,50.203,y
1243257836.438,31.035,10.249,y
1249999741.188,27.393,7.531,y
1250414789.938,29.418,8.225,y
1249914492.313,27.393,10.893,y
1241811621.188,20.963,47.78,y
1250615930.063,28.388,10.855,n
1250523704.094,29.735,9.781,y
1246314139.656,55.907,12.29,y
1250866323.875,30.92,8.077,y
1239106521.375,27.935,86.142,y
1243288476.938,31.035,9.813,y
1248204514.297,28.43,9.191,y
1253281146.563,28.898,8.367,y
1241670115.375,31.213,9.048,n
1253079918.313,31.035,8.096,y
1249771461.844,26.003,11.687,y
1239990458.938,27.134,8.666,y
1247874019.875,30.92,8.722,y
1249660385.875,24.882,10.809,y
1253142468.875,18.502,54.189,y
1249320615.563,29.418,7.516,y
1243425460.547,30.288,7.696,y
1244674258.125,25.118,99.173,y
1248952171.875,18.047,20.281,y
1253450943.563,35.162,8.235,y
1251500701.875,34.631,120.67,y
1242239214.125,29.493,212.785,y
1243442180.313,32.162,9.665,y
1253279060.438,29.948,8.739,y
1239159471.563,23.953,75.904,y
1250540560.625,21.8,24.001,y
1250445164.813,29.948,8.442,y
1241812673.188,26.909,72.985,y
1249907728.688,29.948,7.671,y
1243257057.125,28.4,12.518,y
1253102436.438,19.871,52.382,y
1239639532.563,19.692,55.053,y
1243683360.938,22.513,10.803,y
1239639972.125,18.338,18.138,y
1238516087.063,19.344,28.068,y
1243626231.625,28.133,7.603,y
1240409579.625,35.054,8.427,y
1245076749.125,18.502,27.095,y
1243188809.875,29.493,8.977,y
1238419341.313,31.288,7.886,y
